,symbol,name,isin,sector,industry,country,exchange
54,ALDR,DELTA DRONE,SA000A0HNGZ6,,,,Euronext Growth Paris
55,ALDV,ADC SIIC,SA000A0HNGZ6,,,,Euronext Paris
56,ALECR,EUROFINS CEREP,CA01450V1040,,,,Euronext Growth Paris
57,ALENO,ENOGIA,JO3128711012,,,,Euronext Growth Paris
58,ALENT,ENTREPARTICULIERS,JO3128711012,,,,Euronext Growth Paris
59,ALEXA,EXACOMPTA CLAIREF.,EGS30471C014,,,,Euronext Growth Paris
60,ALFEN,ALFEN,IS0000024602,,,,Euronext Amsterdam
61,ALFRE,FREELANCE.COM,SA000A0HNGZ6,,,,Euronext Growth Paris
62,ALGBE,GLOBAL BIOENERGIES,FR0011052257,,,,Euronext Growth Paris
63,ALGEN,GENOWAY,BG11ALBAAT17,,,,Euronext Growth Paris
64,ALGRO,GROLLEAU,ARAGRO010015,,,,Euronext Growth Paris
65,ALIDS,IDSUD,JO3122011013,,,,Euronext Growth Paris
66,ALIE,ILBE,JP3399240005,,,,Euronext Growth Paris
67,ALINT,INTEGRAGEN,JP3126100001,,,,Euronext Growth Paris
68,ALISP,ISPD,JO3122011013,,,,Euronext Growth Paris
69,ALKAL,KALRAY,INE773I01017,,,,Euronext Growth Paris
70,ALKEM,GROUPE BERKEM,INE540L01014,,,,Euronext Growth Paris
71,ALKER,MEDIA MAKER,IT0005314635,,,,Euronext Growth Paris
72,ALKOM,KOMPUESTOS,BG11ALSUAT14,,,,Euronext Growth Paris
73,ALLAN,LANSON-BCC,DE000A0DPRE6,,,,Euronext Growth Paris
74,ALLEC,COGELEC,DE0005034201,,,,Euronext Growth Paris
75,ALLEX,LEXIBOOK LINGUIST.,DE0005034201,,,,Euronext Growth Paris
76,ALLGO,LARGO,DE000A2GS633,,,,Euronext Growth Paris
77,ALLIX,WALLIX,US01877C7056,,,,Euronext Growth Paris
78,ALLOG,LOGIC INSTRUMENT,AU0000183915,,,,Euronext Growth Paris
79,ALMAK,MAKHEIA GROUP,IT0005434615,,,,Euronext Growth Paris
80,ALMAR,MARE NOSTRUM,SA000A0ETHT1,,,,Euronext Growth Paris
81,ALMAS,MASTRAD,IT0005434615,,,,Euronext Growth Paris
82,ALMDP,MEDESIS PHARMA,US02217B2097,,,,Euronext Growth Paris
83,ALMER,SAPMER,JP3126520000,,,,Euronext Growth Paris
84,ALMET,METHANOR,JP3126500002,,,,Euronext Growth Paris
85,ALNG,AWILCO LNG,NO0010607971,,,,Euronext Expand Oslo
86,ALNOR,NEXPONOR-SICAFI,INE422G01015,,,,Euronext Growth Lisbon
87,ALNOV,NOVACYT,CH0000AEN011,,,,Euronext Growth Paris
88,ALO,ALSTOM,INE527R01018,,,,Euronext Paris
89,ALONC,ONCODESIGN,JP3126100001,,,,Euronext Growth Paris
90,ALORA,ALTHEORA,INE527R01018,,,,Euronext Growth Paris
91,ALPAR,GPE PAROT (AUTO),CH0001413704,,,,Euronext Growth Paris
92,ALPER,LA PERLA FASHION,JP3126470008,,,,Euronext Growth Paris
93,ALPHA,PHARNEXT,JP3126360001,,,,Euronext Growth Paris
94,ALPHE,PHERECYDES PHARMA,JP3126410004,,,,Euronext Growth Paris
95,ALPHI,FACEPHI,JP3126410004,,,,Euronext Growth Paris
96,ALPLA,PLANET MEDIA,FR0013410370,,,,Euronext Growth Paris
97,ALPRI,PRISMAFLEX INTL,PTALT0AE0002,,,,Euronext Growth Paris
98,ALPRO,PRODWARE,INE579B01039,,,,Euronext Growth Paris
99,ALSEN,SENSORION,JP3126470008,,,,Euronext Growth Paris
100,ALSER,SERMA GROUP,JP3126460009,,,,Euronext Growth Paris
101,ALTA,ALTAREA,CA02144U2056,,,,Euronext Paris
102,ALTAN,LE TANNEUR,CA02143B2084,,,,Euronext Growth Paris
103,ALTEV,ENVEA,JP3126350002,,,,Euronext Growth Paris
104,ALTHE,THERACLION,INE057D01016,,,,Euronext Growth Paris
105,ALTIV,TIVOLY,FI4000292438,,,,Euronext Growth Paris
